Investors,InvestorLink,Latest,Seed,Growth,Legal,GRC,RiskTech,FinTech,WealthTech,Participation
KOREA INVESTMENT & SECURITIES,https://www.crunchbase.com/organization/korea-investment-securities-d0c5,Dec 2022,0,14,0,0,0,14,0,18671800000
Yi Capital,https://www.crunchbase.com/organization/yi-capital,Dec 2022,0,2,0,0,2,0,0,29246606
UniCredit Group,https://www.crunchbase.com/organization/unicredit,Dec 2022,0,23,0,14,0,9,0,33280538799
Victor Coisne,https://www.crunchbase.com/person/victor-coisne,Dec 2022,2,0,0,2,0,0,0,3206866
GBTEC,https://www.crunchbase.com/organization/gbtec,Dec 2022,0,4,0,0,0,0,0,60558056
Alexander Ratner,https://www.crunchbase.com/person/alexander-ratner,Dec 2022,2,4,0,6,0,0,0,193400000
ARCH Emerging Markets Partners,https://www.crunchbase.com/organization/arch-emerging-markets-partners,Dec 2022,0,14,0,14,0,0,0,7938000000
Andrea (Andy) Coravos,https://www.crunchbase.com/person/andrea-coravos,Dec 2022,2,0,0,2,0,0,0,11000000
Pricoa Capital Group,https://www.crunchbase.com/organization/pricoa-capital-group,Dec 2022,0,28,0,28,0,0,0,52981341000
ID Ventures,https://www.crunchbase.com/organization/id-ventures-1a58,Dec 2022,3,0,0,1,2,0,0,12000000
Prokofiev Alexander,https://www.crunchbase.com/person/prokofiev-alexander,Dec 2022,8,4,0,0,0,12,0,0
Sudeep Ramnani,https://www.crunchbase.com/person/sudeep-ramnani,Dec 2022,4,0,0,0,0,4,0,168000000
Evolvence India Fund,https://www.crunchbase.com/organization/evolvence-india-fund,Dec 2022,0,20,0,0,8,12,0,3110084680
David Shuman,https://www.crunchbase.com/person/david-shuman,Dec 2022,3,0,0,3,0,0,0,231000000
Jai Mahtani,https://www.crunchbase.com/person/jai-mahtani,Dec 2022,4,0,0,0,0,4,0,168000000
Prime Capital AG,https://www.crunchbase.com/organization/prime-capital-ag,Dec 2022,0,14,0,14,0,0,0,26490670500
Liam Lynch,https://www.crunchbase.com/person/liam-lynch-2,Dec 2022,0,1,0,0,0,0,0,38400000
Felicitas Global Partners,https://www.crunchbase.com/organization/felicitas-global-partners,Dec 2022,0,1,0,0,0,0,0,38400000
Harrison Metal,https://www.crunchbase.com/organization/harrison-metal-capital,Dec 2022,20,2,0,4,0,18,0,1192000000
Sixth Street,https://www.crunchbase.com/organization/sixth-street,Dec 2022,0,1,0,1,0,0,0,150000000
Amit Khetan,https://www.crunchbase.com/person/amit-khetan-3450,Dec 2022,1,0,0,1,0,0,0,0
Erik Matlick,https://www.crunchbase.com/person/erik-matlick,Dec 2022,1,17,0,1,0,7,0,641300000
Heracles Capital,https://www.crunchbase.com/organization/herakles-capital,Dec 2022,1,0,0,1,0,0,0,2500000
Randstad Innovation Fund,https://www.crunchbase.com/organization/randstad-innovation-fund,Dec 2022,2,0,0,0,2,0,0,30034200
Shankar Nath,https://www.crunchbase.com/person/shankar-nath-b3c6,Dec 2022,0,1,0,0,0,1,0,2000000
Arjun Vaidya,https://www.crunchbase.com/person/arjun-vaidya,Dec 2022,3,0,0,0,0,0,0,42900000
Goldman Sachs Bank USA,https://www.crunchbase.com/organization/goldman-sachs-bank-usa,Dec 2022,0,23,0,0,0,23,0,30640400000
Anne Lemcke,https://www.crunchbase.com/person/anne-lemcke-4314,Dec 2022,4,0,0,4,0,0,0,22977540
Jonathan Doerr,https://www.crunchbase.com/person/jonathan-doerr,Dec 2022,4,0,0,0,0,4,0,168000000
Cade Hill Investments,https://www.crunchbase.com/organization/cade-hill-investments,Dec 2022,0,2,0,2,0,0,0,18019150
Joachim Schneider,https://www.crunchbase.com/person/joachim-schneider,Dec 2022,4,0,0,4,0,0,0,22977540
DataPower Ventures,https://www.crunchbase.com/organization/datapower-ventures,Dec 2022,9,4,0,11,0,0,0,74425000
Al Nahyan Abu Dhabi royal family,https://www.crunchbase.com/organization/al-nahyan-abu-dhabi-royal-family,Dec 2022,1,0,0,0,0,0,1,3200000
BM Capital,https://www.crunchbase.com/organization/bm-capital,Dec 2022,0,3,0,0,0,3,0,36000000
The Cairo Angels Syndicate Fund,https://www.crunchbase.com/organization/the-cairo-angels-syndicate-fund,Dec 2022,4,12,0,0,0,16,0,369300000
Varun Vohra,https://www.crunchbase.com/person/varun-vohra,Dec 2022,3,0,0,0,0,0,0,42900000
Srinivas Anumolu,https://www.crunchbase.com/person/srinivas-anumolu,Dec 2022,3,0,0,0,0,0,0,42900000
Hannover Digital Investments GmbH,https://www.crunchbase.com/organization/hannover-digital-investments-gmbh,Dec 2022,0,23,0,8,5,8,0,1339265820
Jamie Lin,https://www.crunchbase.com/person/jamie-lin,Dec 2022,2,0,0,0,0,0,0,1730000
GE Vernova,https://www.crunchbase.com/organization/ge-vernova,Dec 2022,0,10,0,10,0,0,0,4767721130
Global Impact Ventures,https://www.crunchbase.com/organization/global-impact-ventures,Dec 2022,6,0,0,0,0,6,0,93600000
Go-Ventures,https://www.crunchbase.com/organization/go-ventures-4131,Dec 2022,0,3,0,0,0,3,0,36000000
AI Seed,https://www.crunchbase.com/organization/ai-seed-fund,Dec 2022,7,4,0,7,0,0,4,155720968
SEED,https://www.crunchbase.com/organization/seed-startups-and-entrepreneurship-ecosystem-development,Dec 2022,0,6,0,0,0,6,0,1644000
Felix Haas,https://www.crunchbase.com/person/felix-haas,Dec 2022,8,0,0,0,0,3,0,156564583
Nadir Izrael,https://www.crunchbase.com/person/nadir-izrael,Dec 2022,3,0,0,0,3,0,0,114200000
Warwick Capital LLP,https://www.crunchbase.com/organization/warwick-capital-llp,Dec 2022,0,8,0,0,0,8,0,3114380520
StrongBlock,https://www.crunchbase.com/organization/strongblock,Dec 2022,2,0,0,0,0,2,0,33800000
Christine Balagué,https://www.crunchbase.com/person/christine-balagu%C3%A9,Dec 2022,2,0,0,2,0,0,0,3206866
Andrew Keys,https://www.crunchbase.com/person/andrew-keys-2,Dec 2022,1,4,0,0,4,1,0,124400000
Nathalie Gaveau,https://www.crunchbase.com/person/nathalie-gaveau,Dec 2022,2,0,0,2,0,0,0,3206866
Acuitas Group Holdings,https://www.crunchbase.com/organization/acuitas-group-holdings,Dec 2022,2,0,0,0,0,2,0,33800000
MBO Partners,https://www.crunchbase.com/organization/mbo-partners-2,Dec 2022,0,6,0,0,0,0,0,55200000
WAGMI Ventures,https://www.crunchbase.com/organization/wagmi-ventures,Dec 2022,9,0,0,0,0,6,0,111300000
Earthshot Prize,https://www.crunchbase.com/organization/earthshot-prize,Dec 2022,0,4,0,0,0,4,0,5013368
Vikram Khandpur,https://www.crunchbase.com/person/vikram-khandpur,Dec 2022,3,0,0,0,0,0,0,42900000
Parallel18,https://www.crunchbase.com/organization/parallel1822,Dec 2022,0,6,0,0,0,6,0,1644000
Infranity,https://www.crunchbase.com/organization/infranity,Dec 2022,0,28,0,28,0,0,0,52981341000
Achmea Innovation Fund,https://www.crunchbase.com/organization/achmea-innovation-fund,Dec 2022,2,0,0,0,2,0,0,30034200
Arriba Studio,https://www.crunchbase.com/organization/arriba-studio,Dec 2022,2,0,0,0,0,2,0,3000000
Ernest Chiang,https://www.crunchbase.com/person/ernest-deng-wei-chiang,Dec 2022,2,0,0,0,0,0,0,1730000
Prashant Gulati,https://www.crunchbase.com/person/prashant-gulati,Dec 2022,2,0,0,0,0,0,0,7804070
RATP Capital Innovation,https://www.crunchbase.com/organization/ratp-capital-innovation,Dec 2022,3,3,0,6,0,0,0,56303280
Mark Chang Mun Kee,https://www.crunchbase.com/person/mark-chang-mun-kee,Dec 2022,2,0,0,0,0,0,0,1730000
K1W1,https://www.crunchbase.com/organization/k1w1,Dec 2022,9,0,0,0,3,6,0,125482956
The Moon Ventures,https://www.crunchbase.com/organization/the-moon-ventures,Dec 2022,0,2,0,0,0,2,0,22952816
Amit Agarwal,https://www.crunchbase.com/person/amit-agarwal,Dec 2022,0,4,0,4,0,0,0,1312800000
1818 Venture Capital,https://www.crunchbase.com/organization/1818-venture-capital,Dec 2022,6,16,0,3,0,19,0,1189001973
Carol Leaman,https://www.crunchbase.com/person/carol-leaman,Dec 2022,1,0,0,1,0,0,0,4000000
MAKE Group,https://www.crunchbase.com/organization/make-group,Dec 2022,4,0,0,0,0,4,0,67600000
Vimson Group,https://www.crunchbase.com/organization/vimson-group,Dec 2022,0,5,0,5,0,0,0,320000000
Jennifer Tejada,https://www.crunchbase.com/person/jennifer-tejada,Dec 2022,0,4,0,4,0,0,0,1312800000
SBI Investment Korea,https://www.crunchbase.com/organization/sbi-investment-korea,Dec 2022,0,2,0,0,0,2,0,0
Jonathan Rubinstein,https://www.crunchbase.com/person/jonathan-rubinstein,Dec 2022,0,4,0,4,0,0,0,1312800000
Alex Lee,https://www.crunchbase.com/person/alex-lee-d8f5,Dec 2022,2,0,0,0,0,0,0,1730000
Moog,https://www.crunchbase.com/organization/moog,Dec 2022,0,5,0,5,0,0,0,320000000
Richard Aseme,https://www.crunchbase.com/person/richard-aseme,Dec 2022,4,0,0,0,0,4,0,168000000
Top Harvest Capital,https://www.crunchbase.com/organization/top-harvest-capital,Dec 2022,3,0,0,0,0,3,0,33000000
Anupam Mittal,https://www.crunchbase.com/person/anupam-mittal,Dec 2022,6,2,0,4,0,2,1,65676552
Greentown Labs,https://www.crunchbase.com/organization/greentown-labs,Dec 2022,2,0,0,2,0,0,0,6000000
Leonard Stiegeler,https://www.crunchbase.com/person/leonard-stiegeler,Dec 2022,4,0,0,0,0,4,0,168000000
Vijay Malhotra,https://www.crunchbase.com/person/vijay-malhotra-6347,Dec 2022,0,2,0,0,0,2,0,43029748
Kirill Gourov,https://www.crunchbase.com/person/kirill-gourov-8d1e,Dec 2022,0,4,0,0,4,0,0,90400000
David Chreng-Messembourg,https://www.crunchbase.com/person/david-chreng-messembourg,Dec 2022,2,0,0,0,0,2,0,2896190
Mark Wilf,https://www.crunchbase.com/person/mark-wilf-6572,Dec 2022,0,9,0,0,0,0,0,729000000
Adjacent,https://www.crunchbase.com/organization/adjacent,Dec 2022,0,11,0,11,0,0,0,223468125
Ilavska Vuillermoz Capital,https://www.crunchbase.com/organization/ilavska-vuillermoz-capital,Dec 2022,1,44,0,6,10,25,4,14645843252
Joe Schmidt IV,https://www.crunchbase.com/person/joe-schmidt-iv,Dec 2022,1,0,0,0,1,0,0,3600000
Mark Attanasio,https://www.crunchbase.com/person/mark-attanasio,Dec 2022,0,9,0,0,0,0,0,729000000
William OFarrell,https://www.crunchbase.com/person/william-o-farrell-5696,Dec 2022,3,0,0,0,0,3,0,33000000
C16 Ventures,https://www.crunchbase.com/organization/c16-ventures,Dec 2022,0,21,0,21,0,0,0,5310016300
Energy Innovation Capital,https://www.crunchbase.com/organization/energy-innovation-capital,Dec 2022,0,14,0,9,0,0,0,651715850
Nigel Morris,https://www.crunchbase.com/person/nigel-morris-2,Dec 2022,2,0,0,0,0,0,0,7804070
Finda,https://www.crunchbase.com/organization/finda,Dec 2022,0,2,0,0,0,2,0,0
Christian Faes,https://www.crunchbase.com/person/christian-faes,Dec 2022,4,3,0,0,0,7,0,198858165
BMO Capital Markets,https://www.crunchbase.com/organization/bmo-capital-markets-corp,Dec 2022,0,14,0,2,0,12,0,3421683304
Ruth Parasol,https://www.crunchbase.com/person/ruth-parasol,Dec 2022,0,6,0,0,0,6,0,344956572
Mangrove,https://www.crunchbase.com/organization/mangrove,Dec 2022,3,0,0,0,0,0,0,105000000
ZEPETO,https://www.crunchbase.com/organization/zepeto,Dec 2022,3,0,0,0,0,3,0,33000000
Rising Capital,https://www.crunchbase.com/organization/rising-capital,Dec 2022,0,2,0,0,0,2,0,4028400
Goat Rodeo Capital,https://www.crunchbase.com/organization/goat-rodeo-capital,Dec 2022,3,0,0,0,0,0,3,20100000
NAB Ventures,https://www.crunchbase.com/organization/nab-ventures,Dec 2022,3,20,0,0,3,16,4,932193356
Ilya Fushman,https://www.crunchbase.com/person/ilya-fushman,Dec 2022,1,0,0,0,0,1,0,3500000
Rethink Education,https://www.crunchbase.com/organization/rethink-education,Dec 2022,0,7,0,0,0,7,0,335195525
Bala Swaminathan,https://www.crunchbase.com/person/bala-swaminathan-bae2,Dec 2022,0,2,0,0,0,2,0,43029748
Ashutosh Garg,https://www.crunchbase.com/person/ashutosh-garg,Dec 2022,2,0,0,0,0,0,0,7804070
Angel Investor 1,https://www.crunchbase.com/person/angel-investor-1-bd48,Dec 2022,1,0,0,1,0,0,0,185000
TRINE,https://www.crunchbase.com/organization/trine,Dec 2022,0,16,0,16,0,0,0,906016000
FM Capital,https://www.crunchbase.com/organization/fm-capital,Dec 2022,0,10,0,6,0,0,0,86400000
"Delek US Holdings, Inc.",https://www.crunchbase.com/organization/delek-us-holdings-inc,Dec 2022,0,10,0,10,0,0,0,4767721130
Aspire NZ Seed Fund,https://www.crunchbase.com/organization/aspire-nz-seed-fund,Dec 2022,3,10,0,10,3,0,0,429482956
Blockchain Coinvestors,https://www.crunchbase.com/organization/blockchain-coinvestors,Dec 2022,0,8,0,0,0,4,4,280000000
New Zealand Growth Capital Partners,https://www.crunchbase.com/organization/new-zealand-growth-capital-partners,Dec 2022,3,0,0,0,3,0,0,11482956
Genesis Accel,https://www.crunchbase.com/organization/genesis-accel,Dec 2022,0,8,0,0,4,0,4,205200000
UMB Banks,https://www.crunchbase.com/organization/umb-banks,Dec 2022,8,0,0,0,0,0,0,30464000
DUMAC,https://www.crunchbase.com/organization/dumac,Dec 2022,0,14,0,0,0,14,0,18671800000
Keki M Mistry,https://www.crunchbase.com/person/keki-m-mistry,Dec 2022,0,2,0,0,0,2,0,43029748
Netcore Cloud,https://www.crunchbase.com/organization/netcore-solutions,Dec 2022,2,0,0,0,0,0,0,7804070
Palumni VC,https://www.crunchbase.com/organization/palumni-vc,Dec 2022,7,10,0,10,0,3,0,22035700000
Anant Goenka,https://www.crunchbase.com/person/anant-goenka-726b,Dec 2022,0,2,0,0,0,2,0,43029748
AU21 Capital,https://www.crunchbase.com/organization/au21-capital,Dec 2022,15,3,0,10,1,4,3,643900000
RB Venture Partners,https://www.crunchbase.com/organization/rb-venture-partners,Dec 2022,0,9,0,0,0,0,0,729000000
Vallabh Bhanshali,https://www.crunchbase.com/person/vallabh-bhanshali,Dec 2022,2,0,0,0,0,0,0,7804070
Numeta Capital,https://www.crunchbase.com/organization/trousdale-capital-management,Dec 2022,0,1,0,1,0,0,0,9700000
Prashant Kumar,https://www.crunchbase.com/person/prashant-kumar-4,Dec 2022,1,0,0,0,0,0,0,1500000
Sogo Medical,https://www.crunchbase.com/organization/sogo-medical,Dec 2022,0,9,0,0,0,0,0,865142739
Lead Angels Network,https://www.crunchbase.com/organization/lead-angels,Dec 2022,4,0,0,0,0,0,0,11749983
Crédit Mutuel Arkéa,https://www.crunchbase.com/organization/cr%C3%A9dit-mutuel-ark%C3%A9a,Dec 2022,1,10,0,1,0,10,0,5079490625
Raiven Capital,https://www.crunchbase.com/organization/raiven-capital,Dec 2022,0,4,0,0,4,0,0,156000000
NetZero Capital,https://www.crunchbase.com/organization/netzero-capital,Dec 2022,1,0,0,0,0,1,0,2000000
ConsenSys Mesh,https://www.crunchbase.com/organization/consensys-mesh,Dec 2022,5,1,0,0,3,3,0,55200000
Barclays Ventures,https://www.crunchbase.com/organization/barclays-ventures,Dec 2022,6,2,0,0,6,2,0,60134416
Nour Nouf,https://www.crunchbase.com/organization/nour-nouf,Dec 2022,0,3,0,0,0,3,0,84000000
Altari Ventures,https://www.crunchbase.com/organization/altari-ventures,Dec 2022,6,0,0,0,4,2,0,27600000
PeopleFund,https://www.crunchbase.com/organization/peoplefund-company,Dec 2022,2,0,0,0,0,2,0,12200000
Xeta Capital,https://www.crunchbase.com/organization/xeta-capital,Dec 2022,1,0,0,0,0,1,0,2000000
Launchpool,https://www.crunchbase.com/organization/launchpool,Dec 2022,1,0,0,0,0,1,0,2000000
Aspex Management,https://www.crunchbase.com/organization/aspex-management,Dec 2022,0,14,0,0,0,14,0,18671800000
Harshvardhan Rajgarhia,https://www.crunchbase.com/person/harshvardhan-rajgarhia,Dec 2022,1,0,0,0,0,0,0,1500000
SUNiCON Ventures,https://www.crunchbase.com/organization/sunicon-ventures,Dec 2022,1,0,0,0,0,1,0,0
SCC Investments,https://www.crunchbase.com/organization/scc-investments,Dec 2022,0,4,0,0,4,0,0,90400000
HH Sheikh Al Maktoum,https://www.crunchbase.com/person/hh-sheikh-al-maktoum,Dec 2022,7,0,0,0,0,7,0,10188500
National Security Innovation Capital,https://www.crunchbase.com/organization/national-security-innovation-capital,Dec 2022,0,3,0,3,0,0,0,78300000
Max Barney,https://www.crunchbase.com/organization/max-barney,Dec 2022,0,6,0,0,0,6,0,344956572
P74 Ventures,https://www.crunchbase.com/organization/p74-ventures,Dec 2022,0,4,0,4,0,0,0,22000000
City of London Group (COLG),https://www.crunchbase.com/organization/city-of-london-group-colg,Dec 2022,0,6,0,0,0,6,0,344956572
Japan Impact Investment II Limited Partnership,https://www.crunchbase.com/organization/japan-impact-investment-ii-limited-partnership,Dec 2022,0,9,0,0,0,0,0,865142739
Paul Rayson,https://www.crunchbase.com/person/paul-rayson-ac73,Dec 2022,0,4,0,4,0,0,0,46198028
Paulo Dominguez,https://www.crunchbase.com/person/paulo-dominguez-3d7f,Dec 2022,6,0,0,6,0,0,0,4800000
Phillip Vernon,https://www.crunchbase.com/person/phillip-vernon,Dec 2022,0,4,0,4,0,0,0,46198028
Prasanna Sankar,https://www.crunchbase.com/person/prasanna-sankar,Dec 2022,3,0,0,0,3,0,0,3000000
Jorge Vargas,https://www.crunchbase.com/person/jorge-vargas-42a9,Dec 2022,6,0,0,6,0,0,0,4800000
NOEMIS Ventures,https://www.crunchbase.com/organization/noemis-ventures,Dec 2022,6,0,0,5,0,1,0,50000000
uShark,https://www.crunchbase.com/organization/ushark,Dec 2022,0,7,0,7,0,0,0,13300000
Louis Dreyfus Company,https://www.crunchbase.com/organization/louis-dreyfus-commodities,Dec 2022,0,7,0,7,0,0,0,210502068
Mindset Venture Group Ltd,https://www.crunchbase.com/organization/mindset-venture-group-ltd,Dec 2022,0,2,0,2,0,0,0,70000000
Varun Sadana,https://www.crunchbase.com/person/varun-sadana,Dec 2022,3,0,0,0,0,0,0,42900000
Matmut Innovation,https://www.crunchbase.com/organization/matmut-innovation,Dec 2022,0,2,0,0,0,2,0,22952816
Honeywell Ventures,https://www.crunchbase.com/organization/honeywell-venture-capital,Dec 2022,6,20,0,4,10,0,0,3034630320
Metropolitan Partners,https://www.crunchbase.com/organization/metropolitan-partners-group,Dec 2022,0,1,0,0,0,0,0,38400000
Suzuken,https://www.crunchbase.com/organization/suzuken,Dec 2022,0,27,0,0,0,0,0,2595428217
GBIC,https://www.crunchbase.com/organization/gbic,Dec 2022,8,3,0,3,0,8,0,84600000
Infinite Capital,https://www.crunchbase.com/organization/infinite-capital-b86b,Dec 2022,6,3,0,3,3,3,0,36600000
Ben Tellings,https://www.crunchbase.com/person/ben-tellings,Dec 2022,3,0,0,0,0,3,0,47564583
Aozora Bank Ltd.,https://www.crunchbase.com/organization/aozora-bank-ltd,Dec 2022,0,6,0,6,0,0,0,2732785800
hypra.fund,https://www.crunchbase.com/organization/hypra-fund,Dec 2022,2,0,0,0,0,2,0,5500000
Hatch Blue Ltd,https://www.crunchbase.com/organization/hatch-blue-ltd,Dec 2022,0,7,0,7,0,0,0,210502068
Development Bank of Southern Africa (DBSA),https://www.crunchbase.com/organization/development-bank-of-southern-africa-dbsa,Dec 2022,0,8,0,0,0,8,0,599600000
MetaEngine,https://www.crunchbase.com/organization/metaengine,Dec 2022,0,2,0,0,0,2,0,4028400
Avery J. Knapp Jr.,https://www.crunchbase.com/person/avery-j-knapp-jr,Dec 2022,0,4,0,0,4,0,0,90400000
AVG Ventures,https://www.crunchbase.com/organization/avg-ventures,Dec 2022,0,4,0,0,0,0,4,476400000
Manish Vij,https://www.crunchbase.com/person/manish-vij-2,Dec 2022,2,0,0,0,0,0,0,7804070
Lok Capital,https://www.crunchbase.com/organization/lok-capital-2,Dec 2022,0,15,0,7,8,0,0,1188430828
Coral,https://www.crunchbase.com/organization/coral-defi,Dec 2022,5,9,0,0,0,14,0,4891100000
Tonic Private Equity,https://www.crunchbase.com/organization/tonic-private-equity,Dec 2022,0,14,0,0,0,14,0,18671800000
Pluto Digital,https://www.crunchbase.com/organization/pluto-digital-assets,Dec 2022,0,3,0,0,0,3,0,8322183
ISPD,https://www.crunchbase.com/organization/ispd,Dec 2022,0,2,0,0,0,0,0,6356700
Worklife Ventures,https://www.crunchbase.com/organization/worklife-ventures,Dec 2022,2,1,0,0,0,2,0,20000000
Amit Singhal,https://www.crunchbase.com/person/amit-singhal,Dec 2022,2,0,0,0,0,0,0,7804070
Health Velocity Capital,https://www.crunchbase.com/organization/health-velocity-capital,Dec 2022,0,7,0,0,1,0,0,270600000
Apis Holdings,https://www.crunchbase.com/organization/apis-holdings,Dec 2022,0,1,0,1,0,0,0,9700000
Livepeer,https://www.crunchbase.com/organization/livepeer,Dec 2022,2,0,0,0,0,1,1,5000000
David Roebuck,https://www.crunchbase.com/person/david-roebuck,Dec 2022,0,4,0,0,4,0,0,90400000
Africa GoGreen Fund,https://www.crunchbase.com/organization/africa-gogreen-fund,Dec 2022,0,16,0,16,0,0,0,906016000
Oli Farago,https://www.crunchbase.com/person/oli-farago,Nov 2022,8,8,16,0,0,0,0,174472512
TBT,https://www.crunchbase.com/organization/tbt,Nov 2022,16,0,16,0,0,0,0,44800000
Lotte Ventures,https://www.crunchbase.com/organization/lotte-ventures,Nov 2022,22,0,16,0,6,0,0,95170336
American Family Insurance Institute for Corporate and Social Impact,https://www.crunchbase.com/organization/amfam-institute-impact-fund,Nov 2022,0,38,10,5,0,12,11,1047565000
Helvetia Venture Fund,https://www.crunchbase.com/organization/helvetia-venture-fund,Nov 2022,5,18,10,0,2,11,0,532539666
BluePointe Ventures,https://www.crunchbase.com/organization/bluepoint-ventures,Nov 2022,2,31,10,21,0,0,0,4856250000
IRIS Capital Investment,https://www.crunchbase.com/organization/iris-capital-investment,Nov 2022,0,9,9,0,0,0,0,918714078
Northgate Capital,https://www.crunchbase.com/organization/northgate-capital,Nov 2022,0,35,9,0,14,12,0,5740645700
VentureOut,https://www.crunchbase.com/organization/ventureoutny,Nov 2022,0,35,9,8,6,8,0,987097552
ABS Capital Partners,https://www.crunchbase.com/organization/abs-capital-partners,Nov 2022,0,10,9,0,0,0,1,342000000
Ben Armstrong,https://www.crunchbase.com/person/ben-armstrong-2,Nov 2022,8,0,8,0,0,0,0,53171736
Francisco Partners,https://www.crunchbase.com/organization/francisco-partners,Nov 2022,0,25,8,4,2,11,0,5285986040
Sajid Sabir,https://www.crunchbase.com/person/sajid-sabir,Nov 2022,0,20,8,0,0,0,12,1649636256
Kuvi Capital,https://www.crunchbase.com/organization/kuvi-capital,Nov 2022,0,16,8,0,0,8,0,386257056
SB Opportunity Fund,https://www.crunchbase.com/organization/sb-opportunity-fund,Nov 2022,6,23,7,1,10,8,3,1398700000
University Growth Fund,https://www.crunchbase.com/organization/university-growth-fund,Nov 2022,0,9,6,0,0,3,0,344400000
Arjun Purkayastha,https://www.crunchbase.com/person/arjun-purkayastha,Nov 2022,3,15,5,6,0,7,0,169439920
Daniel Dines,https://www.crunchbase.com/person/daniel-dines,Nov 2022,1,4,5,0,0,0,0,112049740
2.12 Angels,https://www.crunchbase.com/organization/2-12-angels,Nov 2022,16,0,5,3,0,5,0,248900000
Vibe VC,https://www.crunchbase.com/organization/vibe-vc,Nov 2022,7,4,4,0,0,7,0,135700000
Bart Macdonald,https://www.crunchbase.com/person/bart-macdonald,Nov 2022,0,4,4,0,0,0,0,44000000
Vibe Capital,https://www.crunchbase.com/organization/vibe-capital-cd52,Nov 2022,0,4,4,0,0,0,0,44000000
GTMFund,https://www.crunchbase.com/organization/gtmfund,Nov 2022,17,47,4,30,0,15,2,7155129900
Flying Fox,https://www.crunchbase.com/organization/flying-fox,Nov 2022,4,0,4,0,0,0,0,26585868
Alexander Cohen,https://www.crunchbase.com/person/alexander-cohen,Nov 2022,4,4,4,4,0,0,0,120400000
J.A.S Ventures,https://www.crunchbase.com/organization/j-a-s-ventures-e85e,Nov 2022,2,9,4,0,7,0,0,4736500000
Wells Fargo & Company,https://www.crunchbase.com/organization/wells-fargo-bank,Nov 2022,0,14,4,2,0,8,0,1727200000
Kernel Investissements,https://www.crunchbase.com/organization/kernel-investissements,Nov 2022,6,13,4,3,0,0,0,810037235
Two Lanterns Venture Partners,https://www.crunchbase.com/organization/two-lanterns-venture-partners,Nov 2022,13,2,3,0,8,2,0,121010000
Preface Ventures,https://www.crunchbase.com/organization/preface-ventures,Nov 2022,12,0,3,4,4,1,0,575400000
Graph Ventures,https://www.crunchbase.com/organization/graph-ventures,Nov 2022,13,4,3,9,0,2,0,118600000
Primetime Partners,https://www.crunchbase.com/organization/primetime-partners,Nov 2022,7,7,2,7,5,0,0,556500000
Gregory Guggenheim,https://www.crunchbase.com/person/gregory-guggenheim,Nov 2022,0,2,2,0,0,0,0,39000000
Pario Ventures,https://www.crunchbase.com/organization/pario-ventures,Nov 2022,2,77,2,10,0,67,0,39829830150
Jolt Capital,https://www.crunchbase.com/organization/jolt-capital,Nov 2022,0,11,2,4,5,0,0,415514197
Align Ventures,https://www.crunchbase.com/organization/alignventures,Nov 2022,0,2,2,0,0,0,0,39000000
TYH Ventures,https://www.crunchbase.com/organization/tyh-ventures,Nov 2022,0,9,2,7,0,0,0,424000000
Jon Oringer,https://www.crunchbase.com/person/jon-oringer-9079,Nov 2022,23,18,2,13,0,19,1,1077244450
Spike Lipkin,https://www.crunchbase.com/person/spike-lipkin,Nov 2022,1,3,1,0,3,0,0,253100000
BasePoint Capital,https://www.crunchbase.com/organization/basepoint-capital,Nov 2022,0,1,1,0,0,0,0,74400000
Eric Koslow,https://www.crunchbase.com/person/eric-koslow,Nov 2022,1,0,1,0,0,0,0,6500000
Techstars Workforce Development Accelerator,https://www.crunchbase.com/organization/techstars-workforce-development-accelerator,Nov 2022,1,0,1,0,0,0,0,1500000
Gordon Wintrob,https://www.crunchbase.com/person/gordon-wintrob,Nov 2022,8,0,1,0,0,7,0,375000000
Cooper Turley,https://www.crunchbase.com/person/cooper-turley,Nov 2022,3,0,1,0,0,2,0,11500000
Gurjeet Singh,https://www.crunchbase.com/person/gurjeet-singh,Nov 2022,1,0,1,0,0,0,0,6500000
PSG,https://www.crunchbase.com/organization/psg-86fb,Nov 2022,0,26,1,2,18,5,0,815800000
Chaifetz Group,https://www.crunchbase.com/organization/chaifetz-group,Nov 2022,0,15,1,0,0,0,0,1089000000
Broad Sky Partners,https://www.crunchbase.com/organization/broad-sky-partners,Nov 2022,0,1,1,0,0,0,0,0
Chad Nitschke,https://www.crunchbase.com/person/chad-nitschke,Nov 2022,1,0,1,0,0,0,0,6500000
Shard Credit Partners,https://www.crunchbase.com/organization/shard-credit-partners,Nov 2022,0,1,1,0,0,0,0,0
True Wealth Ventures,https://www.crunchbase.com/organization/true-wealth-ventures,Nov 2022,6,6,0,12,0,0,0,17520000
HKSTP Ventures,https://www.crunchbase.com/organization/hkstp-ventures,Nov 2022,1,0,0,1,0,0,0,5000000
Eileses Capital,https://www.crunchbase.com/organization/eileses-capital,Nov 2022,0,17,0,12,5,0,0,350500000
Edastra Venture Capital,https://www.crunchbase.com/organization/edastra-venture-capital,Nov 2022,2,23,0,2,14,9,0,793129262
Tom Reilly,https://www.crunchbase.com/person/tom-reilly,Nov 2022,0,6,0,0,0,6,0,390000000
Stacy Hong,https://www.crunchbase.com/person/stacy-hong-e251,Nov 2022,4,0,0,0,4,0,0,380000000
